@relation mfeat-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data

-11.413997,1.272701,2.395288,-9.879191,-0.191841,1.945828,5.239155,-6.779455,-0.887656,-3.337394,-2.47211,-2.024937,-4.324425,1.775732,-2.082912,-1.058302,-1.248195,0.838145,2.03547,-2.486566,-5.703977,2.178462,2.698027,1.513623,-1.190331,0.452517,-1.246349,-1.529935,0.824476,-1.624183,-1.413452,2.431145,1.309024,1.813986,1.044362,-1.172694,0.761317,-0.53626,0.566445,0.128353,0.517635,-0.034387,2.506085,-1.531931,-0.487577,0.957813,-0.344912,-1.388448,0.737171,-1.601094,0.79217,-0.464304,0.40377,-0.410961,-2.415433,-0.698476,-0.147407,0.974588,-0.928481,0.532208,-0.451447,-0.525417,0.247966,-0.733528,7
-1.303276,-12.27867,5.062118,1.69365,9.127957,-1.089383,1.784178,5.838444,-0.176568,-5.64189,-0.890019,4.906862,-1.670211,3.804273,-1.45056,0.260259,0.994477,3.220557,-0.514703,0.320713,-1.076978,-2.318468,-1.983704,-1.337981,2.417692,-3.968764,0.650473,1.190901,-0.202285,0.167938,-3.155652,1.146874,0.252503,-4.829354,0.303093,0.003808,0.297575,3.359555,-2.74398,1.114041,0.13187,-1.768722,-2.603549,-1.679486,-3.406066,-0.232089,0.551713,-1.398618,0.189941,-1.26966,-0.179166,-1.215044,1.193526,1.337466,0.00666,-0.341258,0.319522,0.759666,0.018254,0.010928,0.908637,-0.41042,0.643542,-0.254766,10
-10.782262,-0.500006,-0.554447,-8.57726,2.970768,-0.71718,0.12907,-6.548527,0.471883,-5.871397,-4.162873,-1.099263,-2.602217,-0.431251,-4.555699,3.038112,0.85053,-0.973562,0.866457,-1.583052,-3.015271,-3.330169,2.752678,-0.24761,0.798358,-0.026336,1.050442,1.922797,2.020591,-0.569009,2.082469,-0.028256,2.297553,2.38811,-1.083639,0.996301,-3.814148,-2.137385,1.337243,-1.00613,0.83324,0.11727,0.538878,0.930197,-0.020205,0.064392,0.779137,-2.286991,-1.557533,0.68523,-3.46757,-1.238242,2.023298,0.204531,-0.384123,1.238218,-1.462718,0.526043,-1.998269,0.000728,-1.055986,0.649581,-0.820091,1.830622,7
1.725021,7.58891,-8.055882,9.246704,5.228381,7.684119,-4.696502,-0.243212,0.992603,-1.580136,-0.280058,0.444398,1.16954,2.908138,-1.511462,4.245229,-3.293903,0.122376,-1.066391,-0.888477,0.340017,1.324108,0.763963,2.191491,0.190791,-2.604951,2.222175,-0.344138,1.200396,1.471795,-0.48302,-1.840034,-1.230398,-1.563426,-1.59486,-0.276591,1.402364,1.291229,-1.281822,-1.810718,-1.30747,-0.628071,-0.883592,-0.711832,-0.220548,1.980424,0.592811,0.802231,0.149482,0.637463,0.127351,-0.920685,-0.203202,-1.254442,0.100344,-0.022056,-1.792591,0.123726,-2.342108,0.571691,0.706646,-0.856823,-0.07095,-0.757765,2
8.296263,-9.222124,2.291104,2.533135,7.249469,-1.700767,-2.633613,-2.227243,-4.544586,-0.28151,1.698941,2.999702,6.62411,0.333414,3.594729,-3.243698,-2.125239,0.258829,-3.31106,1.722179,0.379004,-4.078578,1.382772,-0.283339,1.253392,1.574293,0.094138,-1.472019,0.107488,0.840882,-2.664738,0.524176,2.069548,-0.430337,-1.501827,-0.418129,0.737928,2.861236,-0.660815,3.508726,1.048351,2.106209,0.822346,-2.045157,-1.61901,1.322645,0.619706,-0.273208,1.628877,-1.315329,0.608037,-0.75666,0.892681,0.002875,1.485907,-1.802592,0.633237,-0.801749,-0.530843,-1.036536,-0.046055,0.949338,0.392949,-0.91583,10
-10.036885,-9.103778,7.29654,-4.20577,3.75024,2.346905,-7.049078,-9.427779,-0.079288,0.964657,0.037759,0.463602,3.63005,2.095015,0.394497,1.230126,-0.608827,0.491466,-2.408941,3.500771,-1.487343,-1.268927,3.632965,-1.427705,-1.599597,0.354061,2.773459,-1.646722,2.575468,0.70331,-2.021309,-1.548646,0.577371,1.133902,-0.106302,0.687571,-0.244433,0.260439,-0.080225,-0.986073,-1.400392,1.500839,0.811721,0.232319,1.224838,0.981967,0.679505,-0.142178,-0.575604,0.609181,-0.91291,-0.15726,2.535835,1.034337,0.363676,-0.757699,0.053142,1.096033,1.074287,0.183558,0.532835,-0.642165,-0.628999,0.469393,1
2.805674,-0.193627,-6.611848,4.858088,3.368462,4.961708,2.699339,-5.654757,7.767299,-1.089539,1.612787,1.204053,2.653142,1.574287,-5.799356,0.279628,-3.787863,-2.288106,3.958571,-6.409797,6.040399,2.92444,-4.111313,4.245582,1.168512,2.708026,0.70128,-0.398174,-1.922245,-1.641311,-2.858977,-0.755796,1.555427,-0.526459,-3.371956,-1.508705,0.870078,4.650565,0.918057,-1.125633,-0.388728,1.488187,1.4684,1.138414,0.593073,0.719863,-0.724204,1.495076,1.040044,-1.770128,1.098414,-0.127158,-2.234831,-1.392508,2.352133,-1.272046,-0.473013,-1.209621,0.028468,0.450924,-1.140436,-0.230589,-0.062145,0.541588,5
-1.278584,6.083524,-5.679085,-0.13133,7.008547,6.903958,-6.763865,-1.76473,-2.987402,-3.240512,1.008915,5.298946,0.241953,-0.127691,0.705204,5.898464,-0.180289,-1.245488,0.498399,-1.209078,0.281089,1.540527,1.088722,0.914442,1.986334,-4.67348,3.35668,-1.062454,0.205534,0.696992,0.06578,-0.085959,-1.075415,-0.850047,-2.746915,0.988375,1.29998,1.384941,-3.330061,-0.987544,-2.031549,-0.28928,0.873383,-2.162237,-0.605309,0.074141,0.129745,-3.212719,1.380495,0.103892,1.063962,-3.424336,0.586709,-0.614904,-0.147505,0.416452,-1.281535,0.188097,0.421955,-1.561227,1.110285,-0.159572,-0.013141,-0.3161,2
-11.654758,1.443434,-2.836966,-1.68167,0.172249,-0.943428,6.704844,0.511291,8.156815,-4.834276,-1.445796,-1.284202,2.786775,-4.406097,-2.327232,6.405004,2.030142,3.912629,-1.213513,-1.052957,-0.044005,-4.607001,3.674552,3.142069,0.187434,-1.098879,3.406502,4.837106,2.548442,-0.678303,1.852064,-0.309126,-3.683885,2.398382,1.567806,-1.437191,2.504089,-2.803638,0.391848,1.38395,1.278827,-1.333397,-1.646309,2.886107,0.08901,-0.430089,0.899871,-0.181659,-0.164677,1.776559,-0.925282,1.510793,0.388609,-2.233186,-1.818115,0.94802,0.90003,0.655232,-0.660502,-0.205819,0.038686,0.475651,-0.828958,0.803894,7
