@relation mfeat-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data

0.247617,0.377136,0.346662,0.183272,0.162703,0.390958,0.250394,0.323777,0.298051,0.290245,0.043703,0.069571,0.220002,0.219757,0.151057,0.110189,0.078125,0.152946,0.047967,0.108352,0.1433,0.052432,0.023751,0.148907,0.172466,0.040697,0.094181,0.100563,0.118823,0.086169,0.09431,0.077706,0.054183,0.069827,0.06929,0.097539,0.033226,0.060435,0.144794,0.138665,0.008463,0.034257,0.138369,0.058672,0.082059,0.140194,0.068364,0.046736,0.106196,0.080653,0.083608,0.046997,0.148506,0.104334,0.054814,0.100235,0.087713,0.152023,0.05792,0.064638,0.186281,0.077701,0.069492,0.123078,0.23335,0.165775,0.041903,0.129655,0.051301,0.211417,0.034469,0.231763,0.154429,0.21372,0.196122,0.110782,4
0.262281,0.603391,0.263832,0.361427,0.141482,0.140477,0.437956,0.431482,0.301559,0.19728,0.186254,0.160415,0.068136,0.059549,0.087632,0.156092,0.087172,0.128967,0.15132,0.135059,0.107278,0.043403,0.091087,0.139932,0.100945,0.115595,0.132308,0.099292,0.063702,0.119418,0.041515,0.077049,0.119905,0.041107,0.119267,0.100675,0.0844,0.035879,0.049597,0.087239,0.096993,0.087419,0.027535,0.052125,0.096215,0.078759,0.083433,0.022537,0.091363,0.069335,0.091705,0.072486,0.118272,0.093147,0.060091,0.04766,0.07881,0.09696,0.054497,0.072964,0.120834,0.148283,0.098564,0.093392,0.042462,0.096038,0.117957,0.136223,0.251703,0.181608,0.165539,0.111019,0.239503,0.278997,0.278458,0.263988,4
0.193207,0.385539,0.29575,0.133312,0.210068,0.270073,0.306867,0.43183,0.291014,0.265612,0.16983,0.077244,0.061712,0.171113,0.204576,0.094295,0.101136,0.193783,0.20118,0.139808,0.107703,0.127386,0.09851,0.078706,0.107497,0.10782,0.082949,0.040453,0.12133,0.146515,0.109612,0.022451,0.081805,0.113312,0.115361,0.074279,0.039127,0.08845,0.08814,0.097884,0.054539,0.066402,0.075271,0.090295,0.124105,0.103334,0.120631,0.086071,0.065721,0.085617,0.051191,0.039378,0.106757,0.143921,0.080819,0.047788,0.17232,0.048209,0.082646,0.083149,0.158457,0.117975,0.138974,0.12612,0.052789,0.130803,0.120147,0.144165,0.282276,0.18228,0.209667,0.088737,0.20324,0.149553,0.304612,0.27373,4
0.233226,0.50011,0.044429,0.255002,0.205003,0.468143,0.244609,0.384627,0.140181,0.204183,0.304838,0.169585,0.266179,0.224457,0.155006,0.232846,0.343292,0.06261,0.192192,0.088482,0.15472,0.240152,0.177583,0.148863,0.074449,0.160506,0.184826,0.194592,0.115345,0.029501,0.182076,0.189156,0.200008,0.106186,0.029138,0.099274,0.202369,0.158866,0.167234,0.02177,0.057777,0.163181,0.146364,0.105107,0.075373,0.057607,0.040896,0.06197,0.082835,0.071366,0.013706,0.054657,0.04214,0.092528,0.002706,0.021754,0.031487,0.057972,0.06645,0.063719,0.027829,0.062451,0.028306,0.068671,0.080253,0.096816,0.173891,0.128696,0.133153,0.020367,0.105815,0.132469,0.186258,0.27662,0.375289,0.300187,4
0.252748,0.539877,0.248093,0.294368,0.272633,0.271089,0.527862,0.295905,0.27948,0.334851,0.022726,0.093016,0.376807,0.207371,0.106665,0.102225,0.256059,0.107677,0.027967,0.144648,0.167399,0.121565,0.187805,0.128591,0.064316,0.085503,0.238344,0.098536,0.095974,0.033372,0.165764,0.129251,0.081606,0.127242,0.092199,0.179856,0.153961,0.052659,0.12449,0.13808,0.151877,0.1304,0.071933,0.069059,0.084406,0.113184,0.171657,0.037488,0.059947,0.180126,0.088111,0.089813,0.156573,0.141541,0.10882,0.058538,0.206019,0.195812,0.081514,0.049251,0.153173,0.192496,0.083483,0.103997,0.237048,0.088487,0.060974,0.040691,0.188125,0.214414,0.079816,0.046004,0.176545,0.187154,0.202873,0.205442,4
0.197975,0.544659,0.134139,0.386857,0.189125,0.319344,0.403992,0.441163,0.214999,0.226447,0.194885,0.10894,0.264142,0.242885,0.150933,0.11441,0.049175,0.133575,0.215889,0.143674,0.03122,0.051928,0.131803,0.105619,0.145837,0.027213,0.037324,0.092377,0.114044,0.095619,0.046324,0.062351,0.065486,0.025554,0.056483,0.037682,0.08119,0.07561,0.036298,0.069667,0.023221,0.058595,0.097758,0.049097,0.125892,0.165039,0.140067,0.098335,0.133775,0.177155,0.140079,0.093751,0.133965,0.179425,0.096771,0.044799,0.167522,0.215971,0.102905,0.047763,0.178986,0.172202,0.115302,0.018081,0.191961,0.053756,0.030795,0.151232,0.279359,0.145399,0.123189,0.085742,0.240475,0.090953,0.211064,0.165684,4
0.281365,0.300894,0.292847,0.05583,0.242578,0.093623,0.325257,0.478558,0.273812,0.266646,0.104025,0.096474,0.076446,0.163465,0.17005,0.095853,0.066009,0.128825,0.054335,0.161852,0.089579,0.047295,0.043814,0.040236,0.206568,0.066499,0.040871,0.038273,0.016384,0.196904,0.061541,0.053958,0.065246,0.01982,0.173424,0.085268,0.078851,0.054982,0.019651,0.173653,0.08088,0.045847,0.070775,0.016281,0.180846,0.056668,0.041073,0.015343,0.146659,0.073,0.040162,0.031764,0.153817,0.092111,0.0039,0.01586,0.160257,0.066254,0.069606,0.126985,0.195386,0.027623,0.007879,0.045746,0.139785,0.164388,0.135201,0.157709,0.146836,0.057498,0.066873,0.192918,0.333634,0.207991,0.332966,0.223482,4
0.303292,0.420173,0.418382,0.288107,0.190591,0.304657,0.446711,0.331209,0.04075,0.309896,0.048978,0.064569,0.239726,0.323783,0.15972,0.118262,0.173586,0.223226,0.046976,0.121508,0.154999,0.039692,0.064423,0.237602,0.067737,0.091004,0.113189,0.18382,0.047232,0.108423,0.110329,0.06968,0.095905,0.153677,0.134501,0.050199,0.084599,0.147101,0.093593,0.070945,0.113461,0.084628,0.011471,0.138465,0.10817,0.061342,0.086098,0.130501,0.081822,0.086075,0.155388,0.130718,0.051455,0.147647,0.154868,0.119365,0.132088,0.09905,0.148522,0.067256,0.139077,0.17906,0.126254,0.093896,0.213241,0.18408,0.11094,0.028668,0.178582,0.089034,0.049443,0.141209,0.128355,0.055433,0.16328,0.080641,4
0.263641,0.597585,0.309929,0.365062,0.156625,0.214665,0.556589,0.249755,0.387008,0.29425,0.032987,0.092625,0.290178,0.194938,0.184362,0.050787,0.228528,0.114867,0.125846,0.092194,0.158525,0.184935,0.10401,0.090952,0.047232,0.140604,0.053869,0.064792,0.131602,0.15828,0.071569,0.09575,0.055525,0.076724,0.097431,0.116288,0.038154,0.069892,0.100001,0.094395,0.058906,0.055628,0.080746,0.104296,0.109136,0.078199,0.020226,0.097837,0.129101,0.016398,0.080225,0.075262,0.052687,0.106069,0.116815,0.122731,0.011021,0.201464,0.129072,0.19476,0.086797,0.053587,0.131296,0.028488,0.166552,0.232222,0.107964,0.154693,0.171389,0.258055,0.172932,0.11283,0.136914,0.081136,0.080435,0.033195,4
0.271247,0.594016,0.342973,0.354018,0.084775,0.241706,0.462012,0.378484,0.238062,0.193192,0.162382,0.103922,0.12443,0.26109,0.204829,0.117462,0.127978,0.250393,0.097464,0.126308,0.038081,0.15962,0.172702,0.113207,0.085037,0.150719,0.102628,0.028161,0.134121,0.045477,0.169881,0.103381,0.153357,0.058011,0.062843,0.072109,0.077147,0.148749,0.051393,0.10237,0.047205,0.105025,0.063173,0.05209,0.057481,0.13038,0.041339,0.088417,0.044449,0.090027,0.071055,0.078378,0.106218,0.032106,0.110609,0.011423,0.121014,0.083055,0.121916,0.099403,0.028873,0.073389,0.032181,0.073662,0.122462,0.124123,0.151967,0.024685,0.195787,0.166082,0.217878,0.128537,0.132043,0.138731,0.184869,0.1724,4
0.315679,0.491879,0.265749,0.23598,0.188399,0.320453,0.36368,0.330855,0.172599,0.321552,0.176841,0.045379,0.212593,0.306584,0.192543,0.121132,0.196188,0.123504,0.060518,0.10433,0.140372,0.151348,0.064679,0.141071,0.091327,0.164676,0.1362,0.150702,0.07582,0.080645,0.110451,0.113683,0.075507,0.066216,0.134785,0.139189,0.160197,0.091818,0.065466,0.082378,0.070696,0.103099,0.125621,0.061343,0.065116,0.058965,0.063904,0.048995,0.096885,0.062646,0.029073,0.016065,0.069594,0.012645,0.035098,0.092182,0.114242,0.113541,0.068237,0.10022,0.096083,0.073438,0.038132,0.104691,0.128892,0.134769,0.162875,0.204584,0.248395,0.138546,0.081828,0.057094,0.09023,0.140113,0.267365,0.296016,4
0.319886,0.431667,0.166958,0.019079,0.206677,0.428306,0.196793,0.313425,0.204542,0.22016,0.115394,0.233758,0.301067,0.188785,0.089201,0.366277,0.132941,0.106061,0.102144,0.014487,0.135768,0.248298,0.126073,0.057028,0.146407,0.131918,0.224788,0.16641,0.168111,0.16569,0.090875,0.150942,0.184143,0.073599,0.077086,0.087348,0.137778,0.073243,0.191632,0.196257,0.03531,0.056736,0.165595,0.094425,0.090912,0.056364,0.070653,0.092835,0.191015,0.082338,0.015915,0.040026,0.100423,0.160394,0.090044,0.04891,0.164357,0.05218,0.057644,0.067535,0.206677,0.205053,0.088552,0.077098,0.066473,0.093323,0.112006,0.039522,0.108065,0.023552,0.120033,0.140835,0.141943,0.3618,0.431163,0.331313,4
0.17536,0.354016,0.068541,0.307279,0.171672,0.405842,0.356993,0.245987,0.083327,0.241971,0.242465,0.16662,0.290001,0.208841,0.182373,0.179673,0.072946,0.209859,0.246886,0.150268,0.126955,0.07714,0.088066,0.082699,0.149914,0.128243,0.067021,0.061324,0.04352,0.143965,0.142763,0.084223,0.055459,0.074243,0.123646,0.129499,0.079958,0.082264,0.081325,0.124868,0.108817,0.040958,0.09037,0.073718,0.120111,0.081983,0.055698,0.04387,0.130096,0.094109,0.082414,0.032281,0.150845,0.09576,0.066148,0.055227,0.163859,0.13279,0.092631,0.065722,0.138807,0.083232,0.065593,0.087553,0.128963,0.194129,0.185385,0.089468,0.177746,0.092993,0.004426,0.140566,0.180315,0.232277,0.39923,0.131122,4
0.308402,0.539572,0.273812,0.310222,0.229194,0.342401,0.384815,0.385416,0.128875,0.321377,0.138149,0.012328,0.326243,0.287722,0.233845,0.136607,0.110764,0.179782,0.096899,0.144872,0.090183,0.112571,0.115066,0.146009,0.159441,0.033192,0.082205,0.160205,0.067466,0.144239,0.017898,0.099844,0.080409,0.062536,0.080152,0.048833,0.132222,0.055523,0.080663,0.035541,0.079539,0.102529,0.099227,0.092998,0.143387,0.141217,0.13531,0.054064,0.161682,0.174182,0.111633,0.078665,0.184007,0.16201,0.101643,0.003688,0.215877,0.164996,0.109622,0.076898,0.200481,0.127355,0.061747,0.042212,0.172184,0.134581,0.086684,0.085158,0.238598,0.169738,0.134824,0.081429,0.140619,0.143039,0.205423,0.22786,4
0.144919,0.549096,0.109524,0.387979,0.292006,0.483342,0.238614,0.337418,0.185157,0.189135,0.381215,0.153816,0.204676,0.067162,0.158128,0.208227,0.307155,0.198659,0.152596,0.196324,0.197399,0.302625,0.129005,0.17402,0.155299,0.145254,0.164198,0.222076,0.186561,0.168091,0.2122,0.125242,0.170953,0.15827,0.112462,0.211607,0.134891,0.113193,0.152753,0.103865,0.199233,0.188532,0.041415,0.104139,0.070673,0.032461,0.094696,0.044853,0.049824,0.03981,0.053856,0.060904,0.058122,0.081045,0.062494,0.117707,0.077364,0.035228,0.01057,0.039427,0.083427,0.071296,0.158146,0.135491,0.078964,0.115162,0.01824,0.096896,0.141532,0.091026,0.149908,0.252917,0.34675,0.167292,0.354233,0.16378,4
