@relation mfeat-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data

-3.217877,3.561196,8.875216,11.404025,3.983016,-3.876858,2.02995,-1.760698,2.058903,0.569221,1.178778,1.718253,2.711804,-2.532887,-5.976107,0.505734,0.260276,-0.818567,-0.699871,0.409456,-4.059349,1.326766,0.231753,-0.663806,-1.323846,3.503114,2.943385,0.588237,-2.124338,0.411696,0.875507,2.233065,0.342858,-2.223821,1.158111,-0.165626,-0.246735,1.459701,-0.420648,-1.446602,1.602189,1.202179,-0.636008,-1.333262,2.374135,-0.348916,0.667455,2.43188,0.656753,0.763656,-0.129227,-0.212768,-0.392147,2.088965,-0.891499,0.170133,-0.208669,-0.421031,-0.962558,-0.47394,-0.104053,-1.186077,-0.756043,-0.757601,4
0.24058,-1.236201,3.69247,13.777729,1.167,-1.028603,-0.541768,-3.064502,-2.996754,4.457099,0.916295,4.549295,-1.584977,-1.141248,-3.710166,2.398173,0.67007,-1.005266,1.761355,3.076701,0.579519,-0.275707,4.436228,2.655749,-4.315686,-1.751984,-0.549855,0.649675,1.066142,-1.133492,-1.992915,1.09443,-1.221263,0.832331,-0.513867,-2.363553,0.873939,0.015506,0.473295,0.303777,-1.219869,2.358774,0.105276,0.248711,-0.485022,-1.280476,0.887746,-1.784477,1.03545,-1.960006,0.050837,0.621261,0.076545,-1.363048,-0.431701,-2.033944,0.852463,0.423846,-0.165166,0.1017,-1.555812,0.109467,0.053322,-0.734277,4
-3.743862,-0.680282,5.042495,10.796129,4.349989,-1.42612,-2.320467,3.093176,0.284296,2.5381,3.766322,6.002904,3.874091,-0.362635,-7.148087,2.006492,-1.529796,1.921718,-2.612186,1.194155,0.514474,4.879245,2.615181,-0.409152,-2.241154,1.710416,3.044604,1.453455,1.286884,-1.087277,-3.133794,2.127262,-0.214439,0.9853,1.36823,-2.50087,1.66037,0.25796,-0.920764,-1.842243,0.925715,2.325678,1.211499,-0.028614,0.931037,-0.135035,-1.478252,-0.912775,1.088621,-0.65639,1.983527,-1.157487,1.33999,-0.268469,-0.886136,-1.951711,2.338693,0.768028,-0.537574,-2.167457,-0.85509,-0.5863,-0.924258,-0.799119,4
4.608466,-0.42529,5.059731,10.890926,2.737383,-1.890878,-3.012515,-7.304427,0.438028,3.918833,7.012325,2.76737,3.149566,4.459526,-0.461727,0.591313,2.194738,1.650393,2.064998,0.397028,3.583125,0.655017,-2.195991,-1.972388,-1.536904,-0.108043,0.50671,0.745581,0.294936,1.425545,-2.274277,0.008795,0.793863,0.028225,-2.916753,-0.540273,2.585807,-2.15776,-0.517119,-2.595371,-2.33801,2.195412,-0.000265,-0.922263,1.108149,0.18401,1.205737,-0.427812,-0.633078,0.567901,2.089615,-3.128651,1.421393,2.204156,0.726032,1.74568,-0.019488,0.272687,0.973475,0.454178,-0.255765,-1.628578,-0.234164,0.665979,4
-3.776517,1.534804,5.129686,14.253436,5.490644,-3.041893,-0.993079,-2.318956,1.042136,1.998228,2.222555,1.935477,2.213765,-0.856738,-3.601596,0.538461,0.22848,-0.032341,-2.761508,1.361516,-3.095857,1.615396,-0.665243,1.837569,-3.50127,0.308155,2.482263,5.50299,0.067256,-1.918313,-0.576019,0.770412,-0.472584,-0.639952,3.008209,0.36158,-0.475795,-0.41746,-1.229124,-0.686172,0.656381,0.715646,0.622751,0.309712,1.919146,-1.17178,-0.59156,1.415147,0.216172,-0.000472,0.433137,0.975935,0.986479,-0.437892,0.31304,0.659276,-0.261597,0.073208,-1.03244,1.761049,1.383249,0.177375,-0.727147,0.00129,4
5.246294,-1.512885,-3.772165,10.502869,2.694318,-0.86718,-3.40853,-3.920535,-1.85764,4.497189,6.627985,2.972706,5.928157,1.154795,-1.9826,0.582116,2.276419,1.623225,-1.57316,1.520957,1.344586,-1.355806,-0.29846,-1.540368,-0.616208,1.372138,0.787838,2.393953,2.062447,-1.55161,-0.393373,2.012596,-0.407239,-3.010148,-1.378151,-1.5218,2.015131,0.018554,-0.069384,-0.254438,0.023269,1.348821,-0.246021,-1.794372,-0.456111,-0.649181,0.854683,-0.709682,2.301065,-0.949309,0.526694,-1.909863,0.929538,1.142731,0.605886,-0.897693,-0.853671,1.315308,-0.839004,0.345864,0.386925,1.294386,0.615793,0.346115,4
8.379278,-0.550685,2.631856,10.240328,2.790482,-0.548302,-1.789271,-4.487971,-2.109738,2.093316,6.120611,3.004963,6.686843,2.778575,-4.738022,2.126649,1.309039,0.466846,1.99195,0.335754,1.143965,-0.218568,-0.813923,-0.987149,-1.020975,0.246797,-0.8968,1.174073,1.727502,-1.589373,-2.961607,-0.044352,1.729683,-1.366436,-0.617261,-1.692366,2.196522,0.659576,-0.832346,-1.07406,-0.395802,0.785804,-1.788324,-1.121078,-0.009753,-0.467954,1.260144,0.912147,0.747069,0.894227,1.725051,-0.557777,1.464831,1.100388,0.131705,-0.872207,0.633883,-0.059809,0.277024,-1.060086,-0.003147,-0.737314,1.587918,-1.036916,4
-1.835821,2.768361,6.333488,13.002504,5.468867,-1.742702,6.54698,-3.406364,-0.083971,-1.739559,1.927479,0.630513,1.978091,1.979478,-3.867389,5.502881,2.18677,0.375603,2.316377,-0.398814,-0.073176,2.763359,2.041816,-0.612597,-0.372129,-0.382621,2.064878,-0.126546,-1.692297,-0.74003,-0.8602,3.487588,2.271003,-1.040871,1.281851,-2.712567,0.413728,0.479237,1.255743,0.788061,-1.109003,1.032259,0.292847,0.109814,1.519858,-0.308245,0.816621,0.080289,2.232816,1.011496,-1.021744,-0.212639,-0.106146,1.09158,2.096646,-0.108409,-0.39704,-1.517318,0.804843,-0.149093,-1.336959,-0.493534,0.496604,-0.234772,4
-5.093935,2.161314,4.199685,13.019088,0.80116,-4.478193,0.558159,4.98479,-0.504073,3.860415,3.029019,4.846039,-0.805614,-0.883422,-2.617485,2.978022,-1.324073,-0.259705,-2.131608,4.562382,1.438131,2.406105,-0.331906,2.10291,-2.363576,-2.806175,-0.232131,1.709663,-0.115814,0.447806,-2.068286,1.111659,-0.547275,1.327509,0.384417,0.043778,1.942353,-1.529377,0.151495,0.918109,1.302471,1.966691,-0.174091,-2.963932,0.829265,0.560415,2.441608,-1.269026,1.983692,-1.519752,1.548911,-0.464553,0.501897,-0.350622,-0.045568,-1.616424,-0.138081,-0.418054,-0.870427,-0.093746,-0.694354,-0.685017,0.711115,-1.412727,4
